0.00 2.29	LENORE: 	[Disgusting].
111.78 112.76	        	[<VOX A little goofy VOX> %].
111.78 112.72	LENORE: 	[<X Gra=ft X>].
112.76 113.60	        	Goo[2fy=2].
113.05 113.90	ALINA:  	   [2@2] [3I know3].
113.60 114.05	LENORE: 	         [3Hee=3].
114.05 118.41	        	[4Sleep4][5y= VOX> @@@<WH@@@@ (H) @@WH>5].
114.08 114.78	ALINA:  	[4(H)=4] [5steali- --
114.78 115.86	        	Stealing car=s,
115.86 116.19	        	.. but,
116.19 116.45	        	.. you know,
116.45 117.18	        	it's okay.
117.18 118.43	        	.. At least it's not car radios5],
118.43 119.73	        	it's the who=[le car.
119.08 120.43	LENORE: 	[@@ <@ It's the whole car.
119.88 122.69	ALINA:  	@@@@@@@@@@
120.43 121.15	LENORE: 	(H) Go big,
121.15 122.06	        	or don't go at all.
122.06 122.96	        	@@@ Sh=oot @> (H)].
122.69 123.76	ALINA:  	@ @ <@ I] know it @> @.
123.76 124.01	LENORE: 	(THROAT)
124.01 125.36	ALINA:  	.. (H) <SM I [know=].
125.23 125.41	LENORE: 	             [(THROAT)]
125.41 126.26	        	It's amazing SM>.
126.26 127.21	        	.. (H) No,
127.21 128.11	        	!Jan talked the whole time,
128.11 129.01	        	<HI<A in a voice like this.
129.01 129.35	LENORE: 	(H)
129.35 130.63	        	[@@@@@]
129.39 130.89	ALINA:  	[<F Hi= <X ~Mar ~Ali=na=] X>,
130.89 132.29	        	<X ~Alina X> I'm so happy to see you= F>A>HI>.
132.29 133.35	LENORE: 	@@[2 @@@ 2]
132.42 133.32	ALINA:  	  [2 <@ And we're going 2],
133.32 134.86	LENORE: 	@@@@[3@@3]
133.59 134.86	ALINA:  	    [3(H) Go=d3],
134.86 137.26	        	.. (H) turn the volume down @> @@,
137.26 139.56	        	.. (H) <VOX @let me out of he[re] VOX>.
139.11 141.13	LENORE: 	                             [@]@[2@@@@2]@[3@3]
140.17 140.87	ALINA:  	                                 [2<@ And I kept @>2],
140.87 142.12	        	                                          [3(H)3] looking [4over at ~Mar4],
141.79 142.04	LENORE: 	                                                          [4(H)4]
142.12 142.67	ALINA:  	and she's [5going5],
142.37 142.62	LENORE: 	          [5(Hx)5]
142.67 143.20	ALINA:  	(H)=
143.20 144.66	LENORE: 	[@@@@]
143.20 147.17	ALINA:  	[@@@ @] @ @ @ @ @ @ @ @ (SNORT)
147.17 148.32	        	<SM [2cause she didn't2] wanna go=,
147.19 147.44	LENORE: 	    [2(H)=2]
148.32 148.82	ALINA:  	and I she --
148.82 149.17	        	@ I said,
149.17 149.36	        	Mom,
149.36 150.16	        	(SLAP) we gotta go SM>,
150.16 151.86	        	(H) so we never have to go again,
151.86 152.26	        	right?
152.26 153.57	        	(H)= So,
153.57 155.26	        	% well at least we had a good time Saturday,
155.26 156.46	        	we went to see Oba Oba.
156.46 157.20	LENORE: 	.. @[@@]
156.98 157.23	ALINA:  	    [You know],
157.23 157.87	        	!Ruben loved it.
157.87 158.35	        	[They <X kinda X>] --
157.87 158.36	LENORE: 	[Ola Ola],
158.36 158.84	        	what'd he call it?
158.84 159.32	ALINA:  	Oba Oba?
159.32 159.92	        	.. [That --
159.82 159.92	LENORE: 	   [What --
159.92 160.07	        	He] --
159.97 160.09	ALINA:  	Oh],
160.09 160.97	        	he called it [Oho Oho].
160.53 161.90	LENORE: 	             [@@]@@[2@@@2]
161.06 162.26	ALINA:  	                   [2(H)=2] They ca- --
162.26 163.51	        	.. They came and grabbed everybody,
163.51 164.86	        	and got you dancing in the aisle=s,
164.86 166.14	        	.. <HI and they were just nice [people HI>].
165.55 166.08	LENORE: 	                               [(THROAT)]
166.14 167.84	ALINA:  	They were really happy to be doing [it].
167.49 167.70	LENORE: 	                                   [(Hx)]
167.70 168.60	ALINA:  	@@ <@ One of the g- @> --
168.60 170.30	        	(H) The male athletes were incredible,
170.30 170.95	        	but one of the guys,
170.95 171.70	        	his entrance,
171.70 171.90	        	on- --
171.90 173.30	        	.. <@ on <X to X> the sta=ge @> is he,
173.30 175.45	        	(H) comes sliding across on his hea=d.
175.45 176.55	        	... (H) And ~Hector,
176.55 176.92	        	of course,
176.92 177.72	        	looks over at me and goes,
177.72 178.42	        	@@
178.42 179.62	        	.. I couldn't do that ~Lina,
179.62 181.62	        	.. (H) otherwise I'd have n=o hair left.
181.62 186.39	        	@@@@@@@@@[@]@@@@@@@ @@ [2@2]
183.35 186.40	LENORE: 	         [(H)] [2(H)2]
186.40 188.34	ALINA:  	@@@@@
188.34 190.09	        	(H) But there was hardly [anybody there].
189.66 190.09	LENORE: 	                         [<WH @@@ WH>]
190.09 190.94	ALINA:  	It was the matinee=,
190.94 192.29	        	the place was completely empty.
192.29 194.12	LENORE: 	... [R=eally=].
193.55 196.85	ALINA:  	    [(H)] .. That's why !Marcia and !J=im could get up and mo=ve.
196.85 198.12	LENORE: 	@@@@@[2@@2]
197.88 198.53	ALINA:  	     [2(TSK) They2] --
198.53 199.28	        	They thri- --
199.28 200.73	        	They= [feed] off of all these --
199.65 199.90	LENORE: 	      [(H)]
200.73 202.48	ALINA:  	%Th- .. the friend that was there with them,
202.48 204.23	        	is this older guy with this young chick.
204.23 204.72	LENORE: 	(H)
204.72 207.02	ALINA:  	... <VOX And she was like a real pill,
207.02 207.24	        	you know,
207.24 208.53	LENORE: 	[@@@@@@@]
207.33 207.98	ALINA:  	[she's sitting there,
207.98 209.03	        	with <X this X> hair=] pulled back,
209.03 210.53	        	in <X a X> little pony[2tail=2].
209.88 211.06	LENORE: 	                      [2@2] [3(H)3]
210.53 212.24	ALINA:  	                            [3And she's like3] <X sitting there= and X>VOX>,
212.24 212.88	        	(H) he said,
212.88 213.48	        	I would have been here,
213.48 214.30	        	but <VOX she was so late.
214.30 215.50	        	And getting her any place on time VOX>,
215.50 215.80	        	she's going,
215.80 216.33	        	(H) <VOX well,
216.33 217.73	        	I had to get rea=dy= VOX>.
217.73 218.93	        	.. [I don't know why=.
217.83 220.23	LENORE: 	   [@@@@@@@@ @@]@@@
219.08 220.23	ALINA:  	<@ (SNORT) @> @@]
220.23 221.48	        	(H) Nothing was gonna help her.
221.48 222.28	        	(H) No makeup,
222.28 222.83	        	no nothing.
222.83 224.08	        	Cause she's the little <VOX gir=l,
224.08 225.18	        	and he's the older man,
225.18 226.78	        	and [he's taking care of me VOX>].
225.40 226.70	LENORE: 	    [(H)=]
226.78 227.44	ALINA:  	(SNIFF)
227.44 227.99	LENORE: 	... G[od],
227.71 227.96	ALINA:  	     [(TSK)]
227.99 229.69	LENORE: 	It sounds like the tape I made last night,
229.69 230.99	        	and these guys % .. [start] talking about,
230.24 230.49	ALINA:  	                    [(SNIFF)]
230.99 231.24	LENORE: 	.. you know,
231.24 231.59	        	some,
231.59 232.34	        	.. (H) <Q you know,
232.34 233.54	        	.. (Hx) she's so vulnerable Q>.
233.54 234.35	ALINA:  	[(DRINK)]
233.54 234.84	LENORE: 	[(H) She's probably like] twenty-six,
234.84 235.94	        	.. <Q and she looks thirteen,
235.94 236.64	        	and it['s just so],
236.14 236.64	ALINA:  	      [@@@]
236.64 237.24	LENORE: 	(H) it's like Q>,
237.24 237.75	        	(H) <X what did X> --
237.75 238.60	        	They said something like,
238.60 239.30	        	(H) <Q [you know what],
238.80 239.05	ALINA:  	       [(SNIFF)]
239.30 240.17	LENORE: 	.. it's the butterfly,
240.17 241.17	        	you can'[t catch Q> --
240.57 241.67	ALINA:  	        [@ @ @ @]
241.17 242.12	LENORE: 	(H)] <@ And I'm like,
242.12 243.57	        	I'm trying not to vomit,
243.57 244.67	        	@ [<X listening X> to this @>.
243.87 245.32	ALINA:  	  [<@ Give me= br=eak.
244.67 245.74	LENORE: 	@@@]
245.32 245.82	ALINA:  	Give me a break @>].
245.82 246.07	        	(H)
246.07 246.32	LENORE: 	(H)[=]
246.29 248.09	ALINA:  	   [That] stupid little b==itch.
248.09 250.19	        	She just married [2d=addy to take care of her.
248.74 250.90	LENORE: 	                 [2(H) (SWALLOW) (Hx)2]
250.19 252.85	ALINA:  	(H)2] .. They all live down like in Del Mar?
252.85 256.35	        	... (SWALLOW) [3(TSK) w-3] Super ritzy area.
254.63 255.08	LENORE: 	              [3(H)=3]
256.35 256.72	        	I know.
256.72 257.55	        	[What about uh=],
256.83 260.23	ALINA:  	[(H)=] (Hx)=
260.23 260.55	        	(TSK) [2What2].
260.49 262.09	LENORE: 	      [2Th-2] the other ~L ~Perrizo in this world.
262.09 262.54	        	(Hx)
262.54 262.79	ALINA:  	Oh,
262.79 263.25	        	~Liza?
263.25 263.60	        	Oh,
263.60 264.39	        	[Go=d].
263.64 264.24	LENORE: 	[(THROAT)]
264.39 265.04	ALINA:  	(H) Well- --
265.04 265.24	LENORE: 	(SWALLOW)
265.24 265.94	ALINA:  	t- like --
265.94 266.84	        	... Did I tell you,
266.84 269.44	        	about when Mom was having ~Arnold and ~Lisabeth over for lunch,
269.44 269.97	        	finally.
269.97 271.62	        	... (H) Okay,
271.62 272.04	        	well,
272.04 272.64	        	.. @Mom --
272.64 273.59	        	.. They call up in August,
273.59 273.84	        	and go,
273.84 274.69	        	.. I mean it's,
274.69 275.42	        	.. Daddy's been dead what,
275.42 275.99	        	seven years,
275.99 277.44	        	and finally it dawns on ~Lisabeth,
277.44 278.99	        	that she doesn't see Mom that much.
278.99 279.67	        	... Well,
279.67 280.12	        	it's cause she n- --
280.12 280.44	        	.. I know,
280.44 281.22	        	she never calls her,
281.22 281.35	        	right?
281.35 282.63	        	[(H)] So Mom --
281.49 281.89	LENORE: 	[(SWALLOW)]
282.63 283.08	ALINA:  	(Hx) She just goes,
283.08 285.32	        	<VOX I feel like you've got a whole other w=orld outside of us,
285.32 286.42	        	like you don't even need us ~Mar,
286.47 287.74	        	and that you have a whole other life VOX>.
287.74 287.79	LENORE: 	(H)
287.79 288.59	ALINA:  	Mom said I do.
288.59 290.51	        	.. @@@ @ @
290.51 291.34	        	(H) <Q [Well,
290.93 292.82	LENORE: 	       [(H)] [2Poor ~Lisabe=th2].
291.34 292.83	ALINA:  	you've] hur[2t my feeli=ngs2],
292.83 293.62	        	and bu[3=h3] Q>.
293.20 293.45	LENORE: 	      [3(H)3]
293.62 294.15	ALINA:  	[4Mom's go-4] --
293.63 294.88	LENORE: 	[4Maybe she's just4] kind of dense.
294.88 295.13	        	Hunh,
295.13 295.93	ALINA:  	(H) .. Well,
295.93 297.58	        	.. she wants everything on her [terms].
297.08 297.58	LENORE: 	                               [(H)]
297.58 297.90	ALINA:  	[2You know2].
297.58 298.76	LENORE: 	[2Is she vicious or dense2].
298.76 299.76	ALINA:  	.. She's a dope.
299.76 300.16	        	(H)
300.16 300.86	LENORE: 	@[@@]@
300.21 300.51	ALINA:  	 [So],
300.86 301.46	LENORE: 	@ <@ Explains that @>.
301.46 303.58	        	[@@@@]
301.47 302.77	ALINA:  	[@@@ <@ Exactly @>.
302.77 303.58	        	(H) So],
303.58 304.33	        	t- Mom said,
304.33 304.68	        	you know,
304.68 305.08	        	% she goes,
305.08 306.13	        	when can I see you.
306.13 306.63	        	.. Or- --
306.63 307.40	        	So [Mo=m] said,
307.06 307.31	LENORE: 	   [(Hx)=]
307.40 309.55	ALINA:  	well my next free day's like October fourth.
309.55 310.30	        	So that was when,
310.30 312.02	LENORE: 	@[@@@@@@]
310.41 312.41	ALINA:  	 [they set up two months in advance to have] lunch.
312.41 314.17	        	(H) So October fourth [2rolls around,
313.64 315.18	LENORE: 	                      [2(H)=2]
314.17 315.41	ALINA:  	and ~Liza had to go do some2]thing,
315.41 317.17	        	so they're stuck babysitting ~Cassandra.
317.17 318.43	        	... Great.
318.43 318.58	        	.. You know,
318.58 319.68	        	just your big thrill [in the world,
319.28 319.98	LENORE: 	                     [How old is she now].
319.68 320.58	ALINA:  	this little] piss ass.
320.58 321.43	        	.. (H) Four,
321.43 321.93	        	five,
321.93 322.63	        	some place around there,
322.63 323.43	        	I can't remember.
323.43 323.88	        	.. ever.
323.88 324.48	        	Cause it's just --
324.48 325.63	        	.. She's such a nightmare to me.
325.63 326.80	        	(H)= So,
326.80 327.40	        	.. anyway,
327.40 328.00	        	(Hx) Mom --
328.00 328.65	        	They had to cancel,
328.65 329.00	        	they m- --
329.00 329.85	        	they make arrangements,
329.85 331.08	        	for like .. couple weeks later,
331.08 332.88	        	... (TSK) and I wanted to surprise Mom,
332.88 335.11	        	and bring over some nice pastries from La Conversation.
335.11 336.96	        	(H) So I go into La Conversation,
336.96 338.61	        	and I picked out all this stuff for Uncle ~Arnold.
338.61 340.16	        	(H) And it was just supposed to be Mo=m,
340.16 340.76	        	!Ruben,
340.76 341.61	        	~Arnold and ~Lisabeth.
341.61 343.57	        	And I was gonna sit down and talk with them and split.
343.57 345.42	        	(H) So I'm driving up to the house,
345.42 347.02	        	... and there's a car in front of me,
347.02 348.47	        	and the guy is just like sitting there,
348.47 349.34	        	<VOX in the middle of the roa=d,
349.34 350.24	        	and he's not moving,
350.24 350.39	        	and,
350.39 351.59	        	.. you know I wanna park the [car] VOX>.
351.29 351.93	LENORE: 	                             [(H)]
351.93 352.68	ALINA:  	(H)= you know,
352.68 352.93	        	and th- --
352.93 354.52	        	there's no= .. parking either,
354.52 355.40	        	% on one of those sides,
355.40 356.86	        	because it's street sweeping day,
356.86 357.21	        	or something,
357.21 357.39	        	it's like,
357.39 358.57	        	.. <VOX Would you mo=ve,
358.57 360.32	        	so I= can come park my car VOX>.
360.32 361.57	        	(H) And then I realized,
361.57 362.97	        	it's ~Liza and ~Antonio.
362.97 363.59	LENORE: 	@@@@[@@]
363.54 364.64	ALINA:  	    [(H) And] <VOX there's ~Cassandra,
364.64 365.19	        	jumping around,
365.19 365.69	        	jumping around,
365.69 366.24	        	jumping around,
366.24 366.74	        	inside the car.
366.74 367.89	        	<SING nyah nyah nyah nyah nyah nyah SING>VOX>.
367.89 368.49	        	(H)[=
368.29 369.26	LENORE: 	   [(H)=]
368.49 369.31	ALINA:  	So it turns out],
369.31 369.61	        	that,
369.61 371.80	        	she wouldn't get out of the car with ~Arnold and ~Lisabeth,
371.80 374.23	        	so ~Liza and ~Antonio follow=ed them over there,
374.23 375.05	        	to pick up ~Cassandra,
375.05 376.41	        	and take her for a day in the park.
376.41 379.76	        	... (H) But then ~Liza wanted ~Antonio to see Mom's house.
379.76 381.44	        	.. So they go barging in on ~Mar.
381.44 382.69	        	.. So Mom felt obligated,
382.69 384.39	        	to ask those two idiots to lunch.
384.39 386.23	        	.. (H)= Also,
386.23 386.65	        	thereby,
386.65 387.95	        	having to= invi=te,
387.95 388.81	        	dear ~Cassandra,
388.81 390.32	        	who we did not want there in the first place,
390.32 391.67	        	cause she's such a little piss ass.
391.67 392.95	        	.. (H) So the first thing,
392.95 393.97	        	I get inside the house,
393.97 394.72	        	and there's ~Cassandra,
394.72 395.77	        	jumping up and down.
395.77 396.07	        	Jump,
396.07 396.32	        	jump,
396.32 396.62	        	jump,
396.62 396.92	        	jump,
396.92 397.22	        	jump,
397.22 397.47	        	jump,
397.47 397.67	        	jump.
397.67 398.29	        	<VOX And I grabbed her,
398.29 398.84	        	and I held her [down,
398.66 399.38	LENORE: 	               [@@@]
398.84 399.38	ALINA:  	and I go],
399.38 399.83	LENORE: 	@@@@
399.83 401.13	ALINA:  	listen you little p=iss ass,
401.13 402.03	        	.. this is my house,
402.03 403.68	        	and today you are not going to jump.
403.68 405.15	        	Today you're gonna act like a h=uman.
405.15 405.95	        	You got that VOX>?
405.95 407.21	LENORE: 	@[@@]
406.48 408.00	ALINA:  	 [@ (H)] [2She just looks at me2],
407.19 407.90	LENORE: 	         [2@@@2]
408.00 408.90	ALINA:  	she kind of nods [3her head,
408.82 409.92	LENORE: 	                 [3% <@ She's terrified @> @@@@3].
408.90 409.37	ALINA:  	and she's going,
409.37 409.77	        	<Q Ah=3],
409.77 410.43	        	sh=it.
410.43 410.43	LENORE: 	@
410.43 411.88	ALINA:  	Auntie ~Lina's here again,
411.88 413.08	        	.. I am leaving Q>.
413.08 415.54	        	@@@ @So @she wants to [go out on the balcony],
414.73 415.54	LENORE: 	                      [(H)]
415.54 416.14	ALINA:  	I grab her again,
416.14 416.49	        	[and I go],
416.16 416.51	LENORE: 	[(Hx)]
416.51 418.31	ALINA:  	(H) <VOX no kids on the balcony.
418.31 419.41	        	(H) You wanna go outside?
419.41 420.48	        	(H) You <X gotta go X> [downstairs,
419.89 421.98	LENORE: 	                       [(YAWN)]
420.48 421.98	ALINA:  	but you're not going out on the balcony].
421.98 422.93	        	.. (H) Cause knowing you,
422.93 424.35	        	.. (H) you're gonna fall off VOX>.
424.35 425.40	LENORE: 	@@[@]@ (H) [2Aw=2],
424.55 425.40	ALINA:  	  [(H)] [2@@2]
425.40 426.50	LENORE: 	wouldn't that [3be a @pity3] @@@.
425.60 426.35	ALINA:  	              [3@@@3]
426.50 426.78	        	<@ Oh,
426.78 427.28	        	I know @>.
427.28 427.95	        	(H) [So] and,
427.56 427.86	LENORE: 	    [(H)]
427.95 429.03	ALINA:  	f- (H) for ~Arnold and ~Lisabeth,
429.03 429.63	        	of course I said,
429.63 430.43	        	.. <VOX ~Cassandra,
430.43 432.76	        	... you wanna play one [bounce off the] balcony VOX>?
431.67 432.02	LENORE: 	                       [@@]
432.76 433.26	ALINA:  	.. @Hunh.
433.26 433.51	LENORE: 	(Hx)
433.51 434.66	ALINA:  	... t- (H) Auntie didn't laugh.
434.66 435.90	        	.. (H) The little [shit.
435.78 436.11	LENORE: 	                  [@@]
435.90 436.96	ALINA:  	She] wouldn't eat her lunch,
436.96 438.06	        	because she wanted dessert.
438.06 439.28	        	... Dessert comes around,
439.28 440.78	        	.. Mom had cut all the pastries in half?
440.78 442.41	        	.. (H) ~Cassandra takes five of them.
442.41 443.86	        	.. (H) She took .. a= bite,
443.86 444.71	        	.. from each one.
444.71 445.51	        	.. That was it.
445.51 447.01	        	.. <VOX I don't want any mo=[re VOX>].
446.90 447.86	LENORE: 	                            [<X Cause X>] she gets away with it.
447.86 448.97	ALINA:  	... (TSK) Gets away with it.
448.97 449.80	        	She was taking the silverware,
449.80 450.83	        	and digging it into the table.
450.83 451.14	LENORE: 	.. Oh,
451.14 451.69	        	that's [cute].
451.36 452.30	ALINA:  	       [(H)=] I said,
452.30 452.92	        	.. excuse me,
452.92 453.65	        	.. ~Cas[san]dra?
453.08 453.23	LENORE: 	       [@]
453.65 454.70	ALINA:  	You [2wanna try that one more time2]?
454.02 454.97	LENORE: 	    [2Th- .. those tables are muse2]ums,
454.97 455.42	        	could you please,
455.42 456.79	        	.. @@ <@ chill out in the uh art k- @> --
456.79 457.29	        	.. art work here.
457.29 457.92	        	(H)[=]
457.48 458.13	ALINA:  	   [I said try it] again.
458.13 458.68	        	One more time,
458.68 459.35	        	I'm gonna [come] over there,
458.76 458.96	LENORE: 	          [(THROAT)]
459.35 459.93	ALINA:  	and I'm gonna take that,
459.93 460.93	        	and I'm gonna [dig] it into you.
460.15 460.25	LENORE: 	              [(THROAT)]
460.93 462.54	ALINA:  	... And meanwhile,
462.54 463.32	        	@ <@ [~Lisabeth's going] @>,
462.69 462.99	LENORE: 	     [@@]
463.32 465.70	ALINA:  	[2(H) <VOX maybe2] ~Cassandra wants to go outside again VOX>.
463.58 463.78	LENORE: 	[2(H)2]
465.70 466.02	ALINA:  	And I said,
466.02 466.33	        	<VOX yeah,
466.33 467.86	        	that's a good [spot for her] VOX>.
466.64 467.69	LENORE: 	              [@@@]
467.86 468.79	        	.. (Hx) (Hx)
468.79 470.83	ALINA:  	.. ~Antonio had on [white] shoes.
469.84 470.16	LENORE: 	                   [(H)]
470.46 472.58	        	(Hx) ... [2I'm sorry2].
471.87 473.17	ALINA:  	         [2I don't care if he is2] I[3tal3]ian,
472.64 472.84	LENORE: 	                                    [3(H)3]
473.17 473.72	        	[4@4]
473.59 474.74	ALINA:  	[4@I4] @don't care.
474.74 478.89	        	... <VOX That was the .. u=gliest set of shoes I ever saw in my life VOX>.
478.89 480.59	        	.. @ @ @ @
480.59 482.59	        	.. (H) [One of the kids at @work] said,
481.44 482.35	LENORE: 	       [(H)=]
482.59 483.67	ALINA:  	@but ~Alina it doesn't count,
483.67 484.87	        	unless he had a white belt.
484.87 485.87	        	.. [((CLAP)) .. ((CLAP))]
484.97 485.77	LENORE: 	   [@@@@@]
485.87 487.27	        	.. <HI <F And he di[=d F> HI>].
486.52 487.47	LENORE: 	                   [<@ He did @>].
487.47 490.28	ALL:    	@()
490.28 490.53	ALINA:  	(H)
490.53 490.88	LENORE: 	(H)
490.88 492.53	ALINA:  	I [don't care] if it's a white suit,
491.10 491.20	LENORE: 	  [(H)]
492.53 494.43	ALINA:  	... put something else @[2@@2] --
494.13 494.48	LENORE: 	                        [2(H)2]
494.48 496.16	ALINA:  	@(H) (H) He had on a white suit,
496.16 497.31	        	~Liza had on a um,
497.31 498.36	        	.. a black suit,
498.36 499.85	        	and then he stands there and <VOX tells her how it's not --
499.85 501.21	        	.. it needs to be baggier here VOX>,
501.21 502.01	        	and they're analyz- --
502.01 503.66	        	(H) [They are so superficial],
502.89 503.16	LENORE: 	    [(Hx)]
503.66 504.61	ALINA:  	[2They are into all this clothing2].
503.68 504.93	LENORE: 	[2He has a .. r=estaurant2] or something,
504.93 505.65	        	[3or what does he do3],
505.04 505.49	ALINA:  	[3(H)=3]
505.65 505.92	LENORE: 	or wh- --
505.92 506.37	        	[Who is he].
505.70 506.54	ALINA:  	[He's a waiter].
506.54 507.64	        	.. He's a waiter at Rosa's.
507.64 508.68	        	out there [in Ontario].
508.06 508.56	LENORE: 	          [(Hx)]
508.68 510.19	ALINA:  	which is a very nice restaurant I'm sure,
510.19 510.39	        	but,
510.39 511.93	        	.. he wants to open his own restaurant someday,
511.93 512.40	        	and he thinks,
512.40 513.30	        	.. we're gonna finance it.
513.30 513.90	LENORE: 	.. (Hx)
513.90 517.48	ALINA:  	... (TSK) Actually thinks !Cathy and !Jawahar are,
517.48 517.79	        	or,
517.79 518.43	        	.. ~Jonathan is,
518.43 519.70	        	cause they're the [wealthy ones (TSK)],
518.86 520.31	LENORE: 	                  [I tried to explain to] !Cathy that,
520.31 522.54	        	... [2(H)2]1 .. life [3had changed3] now.
520.77 522.23	ALINA:  	    [2(SNIFF)2] [3(SWALLOW)3]
522.54 523.54	        	... (TSK)
523.54 524.44	LENORE: 	... for [her],
523.99 524.34	ALINA:  	        [that] --
