0.00 12.70	MARY:   	... God,
373.88 376.13	        	... when he got home.
376.23 378.88	        	... So=,
378.88 381.18	        	... I was in the bathtub when he called,
381.18 384.03	        	... and I talked to him for a while and,
384.03 385.93	        	... he went and,
385.93 391.43	        	... he was really down about what ... what I told .. h=im that ~Tim had said to me,
391.43 394.08	        	... and how I was ... so upset?
394.08 397.53	        	... He goes <Q why didn't you tell him to go and wake me up Q>.
397.53 398.98	        	... <@ I said I di=d @>,
398.98 399.98	        	and he wouldn't do it.
399.98 402.23	MARY:   	... Really=?
402.23 402.68	ALICE:  	Mhm.
402.68 404.77	        	... (TSK) He goes,
404.77 405.08	        	they w- --
405.08 408.28	        	they were sitting around getting all ... fucked up,
408.18 409.03	        	he said but,
409.03 410.13	        	... he said I went right to bed,
410.13 412.48	        	he said I didn't get done working until after nine.
412.48 413.61	MARY:   	... (TSK) Oh,
413.61 414.46	        	ma=n.
414.46 418.40	ALICE:  	... Cause that five-car pile up they had between Hardin and Crow?
418.40 419.10	MARY:   	... Oh=,
419.10 419.43	        	shit,
419.43 419.80	        	really?
419.80 421.03	        	I didn't hear about it.
421.03 421.58	ALICE:  	... Yeah.
421.58 425.48	        	... !Ron was s=inglehandedly there.
425.48 428.28	        	... @ .. with one wrecker.
428.28 431.68	MARY:   	... G- yeah=.
431.68 435.13	ALICE:  	... (THROAT)
435.13 439.21	MARY:   	... Seems like any time I've seen a wrecker out here,
439.21 440.73	        	there's always two guys in there.
440.73 441.33	ALICE:  	Hm-m X,
441.33 442.38	        	@everyone was gone,
442.38 443.38	        	when the call came in.
443.38 444.58	MARY:   	... Oh=.
444.58 446.73	ALICE:  	And !Jay's not supposed to go on those anymore,
446.73 447.75	        	because of his heart,
447.75 450.75	        	... (H) (TSK) so he had to send !Ron by himself,
450.75 453.55	        	and !Ron was s=lowly pulling everybody out of the ditch.
453.55 456.78	MARY:   	... Did they all hit each other?
456.78 457.35	        	Or just,
457.35 458.10	ALICE:  	.. Kind of.
458.10 461.10	        	.. A%- a% semi ... bumped a car,
461.10 462.00	        	and then went and,
462.00 463.50	        	... went on two wheels,
463.50 463.95	        	and,
463.95 466.55	        	... just about lost it,
466.55 470.10	        	and then ... (TSK) got back up on all ... all its wheels again.
470.10 471.85	MARY:   	... Oh=.
471.85 474.90	        	... Did it land [in the ditch]?
474.17 475.20	ALICE:  	                [But it (Hx)]= --
475.20 476.65	        	... Kind of,
476.65 478.00	        	it was able to get out,
478.00 482.51	        	(H) but all the other cars that were ... in the .. direct ... vicinity,
482.51 483.55	        	all hit the ditch.
483.55 485.80	        	... And then,
485.80 487.95	        	... there was three cars .. and the semi.
487.95 489.30	        	... (H) And then,
489.30 491.45	        	... this uh,
491.45 493.90	        	... this guy ... pulled up and,
493.90 496.05	MARY:   	(DRINK)
496.05 497.65	ALICE:  	.. he was going to uh,
497.65 500.20	        	... (H)= !Peggy,
500.20 502.60	MARY:   	... (SWALLOW)
502.60 506.10	ALICE:  	(YAWN) (YAWN) you remember !Peggy !White?
506.10 507.40	MARY:   	... (TSK) Yeah.
507.40 508.08	ALICE:  	Her husband,
508.08 508.95	        	!Gary !Bighare?
508.95 509.50	MARY:   	Mhm?
509.50 511.33	ALICE:  	... Him and her pulled up,
511.33 512.33	        	and they were in the van?
512.33 515.14	        	... And they stopped to ask !Ron what happened?
515.14 518.68	        	... And here another car came and rear-ended em.
518.68 520.45	MARY:   	... (TSK) (H) Oh=[=].
520.09 527.38	ALICE:  	                 [And they] ended up having to take um= ... !Peggy !White ... by helicopter to Billings.
527.38 534.28	MARY:   	... Man that's pretty ba=d.
534.28 535.69	ALICE:  	... I know.
535.69 537.64	        	... Darn,
537.64 541.47	        	... this darn dog keeps ... breathing,
541.47 542.77	        	<X and like X> ... dreaming,
542.77 544.29	        	<X you know X> I wonder if we should wake her up?
544.24 545.24	MARY:   	... No,
545.24 546.94	        	.. she'll get scared and want to go outside.
546.94 550.07	        	... Kinda nervous,
550.07 550.64	        	you know.
550.52 555.27	ALICE:  	... They say you can really ... mess up a dog,
555.27 556.77	        	by waking em up when they're dreaming.
556.77 557.32	MARY:   	.. Really?
557.32 558.42	ALICE:  	... Mhm.
558.42 563.44	        	... It's so cold outside,
563.44 566.12	        	but yet sometimes she insists on staying out there.
566.12 567.09	MARY:   	I know=.
567.09 572.56	        	... You know what I was thinking of doing?
572.56 573.16	ALICE:  	Hunh.
573.16 574.17	MARY:   	... I don't know,
574.17 575.11	        	she's kind of shy,
575.16 576.31	        	but I was [wondering],
575.68 576.31	ALICE:  	          [(SNEEZE)]
576.31 579.50	MARY:   	... [2what it2] would be like to ... train her,
577.55 577.82	ALICE:  	    [2(SNIFF)2]
579.50 581.32	MARY:   	... to pull a sled.
581.32 584.29	ALICE:  	... I don't know if she'd do it.
584.29 585.99	MARY:   	... I don't know if she would either.
585.99 590.68	        	... She's kind of timid.
590.68 591.28	ALICE:  	.. Mhm.
591.28 598.27	        	... She doesn't trust too many people at all.
598.27 599.22	MARY:   	... Yeah=.
599.22 609.20	ALICE:  	... (SNIFF) ... (SWALLOW) Oh and you know another thing that ~Tim had the audacity to bitch about?
609.20 609.90	MARY:   	.. What.
609.90 615.90	ALICE:  	... He said um,
615.90 619.80	        	... ~Mandy had to stay up all by herself and decorate the tree.
619.80 621.90	        	... until four in the morning.
621.90 627.95	        	... And I even asked if we could put our ornaments on there,
627.95 629.90	        	and they told me <X that X> .. there wouldn't be enough room.
629.90 633.19	MARY:   	... Really=?
633.19 633.64	ALICE:  	Mhm,
633.64 634.54	        	.. ~Tim said that.
634.54 644.26	MARY:   	... (TSK) (H) She was probably lonely when she was doing it,
644.26 644.86	        	you know that?
644.86 647.83	        	... She probably was.
647.83 650.37	        	... [X] --
650.06 651.16	ALICE:  	    [I] sat up with her,
651.16 652.26	        	and I was talking to her,
652.26 653.76	        	she was doing all the decorating,
653.76 654.31	        	.. I mean,
654.31 658.26	        	(H)= ... what was I gonna do.
658.26 658.76	        	She- I mean,
658.76 661.31	        	she was just .. putting up the balls and everything and,
661.31 662.31	        	... (H) she'd say <Q where,
662.31 663.96	        	... where do you think this should go Q> and,
663.96 667.36	        	... so I was sitting there doing my Welfare application.
667.36 669.51	        	... And uh=,
669.51 674.98	        	... @you @know I was just sitting there watching her,
674.98 678.31	        	telling her ... (H) where to put everything and what not.
678.31 680.82	MARY:   	... Did you know !Nickie wanted her own tree=?
680.82 682.13	ALICE:  	... Ye=s?
682.13 684.23	MARY:   	... And I forgot to bring it in,
684.13 685.13	        	it's outside?
685.13 686.93	ALICE:  	... What are you gonna do with it.
686.93 689.28	MARY:   	... She wants to set it up for her Barbies.
689.28 692.93	        	... I was just gonna use a tin can and put rocks in the bottom?
692.93 693.53	ALICE:  	.. Mhm.
693.53 694.48	MARY:   	.. And just stick it in there.
694.48 699.65	        	... (SWALLOW) (TSK) (H) And you know what I did?
699.65 700.20	ALICE:  	Hm.
700.20 701.90	MARY:   	I [didn't] want to waste a tree's life,
700.35 700.50	ALICE:  	  [(TSK)]
701.90 705.15	MARY:   	... so I just cut a <@ branch off one @>.
705.15 707.85	        	... (H) ... God,
707.85 708.85	        	<X I fell up there X>.
708.85 711.13	        	... (DRINK)
711.13 711.78	ALICE:  	Where'd you go.
711.78 712.78	        	... to get em.
712.78 714.73	MARY:   	... You know where !Sarah and !Arvela live?
714.73 715.23	ALICE:  	.. Mhm,
715.23 716.13	MARY:   	.. Just around the corner.
716.13 719.21	        	... Remember that first .. cattle guard you go over?
719.21 720.00	ALICE:  	... Unhunh,
720.00 721.10	MARY:   	I didn't even go over that.
721.10 724.63	ALICE:  	... You mean,
724.63 726.13	        	... kinda like .. by the --
726.13 727.91	        	... by the [tunnel]?
727.46 728.44	MARY:   	           [Right below the] tunnel.
728.44 729.96	ALICE:  	... Oh=.
729.96 731.81	MARY:   	... And I just walked up --
731.81 733.56	        	... W=e just walked up around uh,
733.56 734.21	        	that area,
734.21 736.66	        	(H) God ~Alice that was f=u=n.
736.66 738.36	ALICE:  	(H) Did you get grandma a tree too?
738.36 738.81	MARY:   	Hunh-unh.
738.81 740.31	ALICE:  	... Does she already have one?
740.31 740.96	MARY:   	... Hm-m.
740.96 744.42	        	... (TSK) That pickup could only hold like three.
744.42 745.62	ALICE:  	... Mm.
745.62 749.74	        	... I wonder why --
749.74 751.77	        	.. Did daddy say to take the pickup back?
751.77 752.89	        	Or what was the [deal].
752.33 752.89	MARY:   	                [Yeah].
752.89 753.84	        	.. Yeah.
753.84 754.19	ALICE:  	Why.
754.19 757.12	MARY:   	... Cause !Phoebe needs it.
757.12 759.62	ALICE:  	... What's wrong with the car.
759.62 761.67	        	... (H)
761.67 761.88	MARY:   	Oh,
761.92 762.73	        	you didn't hear about it?
762.73 763.25	ALICE:  	Hunh-unh.
763.25 763.69	MARY:   	... Oh,
763.69 764.16	        	you did,
764.16 766.04	        	about how the .. engine was on fire?
766.04 766.59	ALICE:  	.. Mhm,
766.59 768.65	MARY:   	... See there was oil spilling out,
768.65 771.00	        	... leaking out from ... the valve cover.
771.00 771.78	ALICE:  	... Mhm.
771.78 774.34	MARY:   	The valve cover gasket apparently cracked or whatever,
774.34 775.46	        	and there was oil coming out,
775.46 777.34	        	(H) .. and the oil got hot,
777.34 779.03	        	and you know how it gets hot and smokes?
779.03 779.49	ALICE:  	Mhm.
779.49 780.50	MARY:   	... Well,
780.50 781.78	        	I guess enough came out,
781.78 783.90	        	... because we were losing oil bad,
783.90 786.66	        	... going from Billings to .. Crow,
786.66 787.11	        	um,
787.11 788.71	        	... there's a lot of &
788.71 790.34	ALICE:  	(DRINK)
790.34 791.37	MARY:   	& smoke coming out,
791.37 792.61	        	and by the time we got to Hardin,
792.61 794.26	        	we had to put like uh=,
794.26 796.66	        	... three or four quarts in.
796.66 798.08	ALICE:  	... Unhunh.
798.08 799.36	MARY:   	... It was three.
799.36 803.03	        	.. (H)= .. An=d (Hx),
803.03 804.50	        	.. by the time we got to &
804.50 806.24	ALICE:  	... (H)
806.24 806.90	MARY:   	& Crow,
806.80 808.80	        	... it was=,
808.80 810.80	        	... it was one quart low.
810.80 813.66	        	... And there was smoke still coming from under the engine,
813.66 815.81	        	I figure w- if it was losing that much oil,
815.81 817.81	        	(H) then <X it X> caught fire.
817.81 818.20	ALICE:  	Mhm.
818.20 819.33	MARY:   	Cause the engine was hot,
819.33 823.34	        	cause there wasn't .. enough water in the ... radiator.
823.34 824.06	ALICE:  	... Mhm.
824.06 825.55	MARY:   	(TSK) I talked to !Oscar about it,
825.55 826.21	        	and he said,
826.21 827.11	        	(H) well I checked,
827.11 827.81	        	it was only,
827.81 828.79	        	.. it was only about,
828.79 831.57	        	I'd say a half a quart to a quart short of water.
831.57 833.55	        	... But that shouldn't make any difference.
833.55 835.09	        	He goes the only thing I can think of,
835.09 837.25	        	(H) is that there was an air lock in there.
838.70 839.41	ALICE:  	    [(THROAT)]
837.25 840.99	MARY:   	... [And that] running the engine out on the open road?
840.99 841.43	ALICE:  	.. Mh[2m2].
841.33 842.99	MARY:   	     [2C2]aused that air lock to come through.
842.99 844.18	        	... [3flushed it out3].
843.43 845.46	ALICE:  	    [3And bust th3]e ... gasket?
845.46 847.03	MARY:   	... No=,
847.03 849.63	        	... it would more or less um,
849.63 852.92	        	... the engine wasn't being kept cool enough.
852.92 855.78	        	... Cause there [wasn't enough] fluid .. in the radiator.
853.55 854.14	ALICE:  	                [(DRINK)]
855.78 856.22	        	Unhunh,
856.22 858.47	MARY:   	... And,
858.47 859.80	        	you know how the radiator's,
859.80 861.81	        	the pipe's close to other parts of the en[gine]?
861.56 861.95	ALICE:  	                                         [Yeah]=.
861.95 863.59	        	... So what &
863.59 864.75	MARY:   	It was some [part in there].
864.10 865.34	ALICE:  	& [caused the f]ire.
865.34 867.10	MARY:   	... The engine being too hot,
867.10 868.48	        	.. and the oil leaking,
868.48 871.05	ALICE:  	... So he knew that the oil was leaking?
871.05 871.54	MARY:   	No,
871.54 874.70	        	... (TSK) we knew we were losing oil,
874.70 875.54	        	but we didn't know where.
875.54 877.92	        	I just figured it was from= that valve cover gasket.
877.92 880.71	        	... Just from lifting up the hood and looking at it.
880.71 882.81	ALICE:  	... (H) So what's he gonna do.
882.81 883.78	MARY:   	... Well,
883.78 885.24	        	.. %and two of his wires,
885.24 886.40	        	the sparkplug wires?
886.40 886.97	ALICE:  	... Unh[unh].
886.77 888.68	MARY:   	       [were] fried all the way through.
888.68 889.25	ALICE:  	... Unhunh.
889.25 890.94	MARY:   	.. So we took those off and we,
890.94 893.48	        	.. replaced them with some old ones out of the garage.
893.48 894.33	ALICE:  	.. I knew tha=t.
894.33 895.04	MARY:   	And it runs.
895.04 896.50	        	... It runs.
896.50 897.85	        	There's enough uh=,
897.85 901.33	        	... radiator fluid in there.
901.23 902.15	ALICE:  	... Mhm.
902.15 904.13	MARY:   	... so that it will,
904.13 906.31	        	... It's .. it's enough.
906.31 907.13	ALICE:  	... Mhm.
907.13 910.76	MARY:   	... (DRINK) But I think running it out on the open road,
910.76 914.72	        	will cause it ... possibly to shoot more oil out.
914.72 915.81	ALICE:  	... Mhm.
915.81 918.13	MARY:   	That valve cover gasket has to be replaced.
918.13 920.60	ALICE:  	... Hm.
920.60 924.68	        	... (Hx)
924.68 926.99	MARY:   	... I don't know.
926.99 928.70	        	(H) Oh I freaked !Cookie and,
928.70 930.26	        	... !Rita and,
930.26 931.90	        	... !Gary out tonight.
931.90 935.90	        	... Remember the Plain- .. Plainfeather uh .. Claypit?
935.90 938.16	        	... where that red clay is?
938.16 938.83	ALICE:  	... Mhm.
938.83 940.09	MARY:   	... Right there.
940.09 943.85	        	... I saw my .. my speedometer just go Brr=.
943.85 945.28	        	.. like that just dow=n.
945.28 946.25	        	(H) You know,
946.25 947.89	        	and I knew exactly what it was.
947.89 949.40	        	... What I have to do,
949.40 950.91	        	is take off the distributor wire,
950.91 952.98	        	and splice it in with the fuel pump wire.
952.98 954.25	ALICE:  	... [Mhm].
953.89 956.03	MARY:   	    [Because] my= .. fuel pump is now electric,
956.03 956.86	        	.. Never used to be.
956.86 957.43	ALICE:  	... Mhm.
957.43 959.21	MARY:   	... Hand me that ashtray.
959.21 961.20	        	... Or your light,
961.20 961.62	        	I mean.
961.62 962.05	        	.. <P Your light P>.
962.05 963.80	        	... (H) It's behind the sewing machine.
963.80 964.99	        	(H)
964.99 965.28	ALICE:  	(THROAT)
965.28 966.15	MARY:   	And uh=,
966.15 967.63	        	... sometimes it gets loose.
967.63 968.95	ALICE:  	... (YAWN)
968.95 970.35	MARY:   	And .. no more <HI fuel HI>.
970.35 971.21	ALICE:  	(YAWN0 Unhunh,
971.21 972.54	MARY:   	So I stopped the car,
972.54 973.37	        	and they said what are you doing.
973.37 973.64	        	I said,
973.64 973.81	        	<Q oh,
973.81 975.48	        	I gotta tighten this wire here Q>.
975.48 979.95	        	... (H) ... So I had !Cookie .. turn on the ignition and turn it off.
979.95 980.72	        	... So,
980.72 981.08	        	.. cause see,
981.08 982.39	        	once you turn that key on,
982.39 983.57	        	... then you hear the%,
983.57 984.97	        	.. the fuel pump .. come on.
984.97 985.64	ALICE:  	... Mhm.
985.64 987.38	MARY:   	... And if the wire's not connected right,
987.38 988.31	        	.. it doesn't come on.
988.31 989.03	ALICE:  	... Mhm.
989.03 990.56	MARY:   	... So I did that,
990.56 993.49	        	... and I lit a match to find out where I was,
993.49 993.68	        	and,
993.68 996.14	        	... n- after everything was hunky-dory,
996.14 996.60	        	.. then I,
996.60 997.81	        	... shut the hood,
997.81 998.57	        	and got back in,
998.57 999.98	        	and I started up the engine and,
999.98 1002.99	        	(H) both !Gary and !Rita were sitting on the edges of their seat.
1002.99 1005.16	        	... (SWALLOW) And I turned around and I looked,
1005.16 1005.55	        	.. and I said,
1005.55 1007.29	        	... <Q did I scare you kids Q>?
1007.19 1008.90	        	... (H) They wouldn't say anything,
1008.90 1009.46	        	then !Gary goes,
1009.46 1010.60	        	.. (H) .. <Q yeah,
1010.60 1011.48	        	I was scared Q>.
1011.48 1012.29	        	@@@
1012.29 1012.59	ALICE:  	(H)
1012.59 1013.56	MARY:   	... (H)
1013.56 1014.06	ALICE:  	(Hx)
1014.06 1015.58	Mary:   	... <X But X> I freaked em out,
1015.58 1020.69	        	... I don't know.
1020.69 1025.90	        	... Then daddy said something about the steering column on my car needing ((MATCH_STRIKE))_work?
1025.90 1026.57	ALICE:  	.. Mhm,
1026.57 1030.62	MARY:   	... Said long as I don't drive it fast,
1030.62 1031.54	        	it should be alright.
1031.54 1038.02	        	... But oh man I don't know.
1038.02 1040.02	        	... See the thing about it is,
1040.02 1041.49	        	... if I go after !Ken,
1041.49 1043.43	        	I'm not really gonna have any money.
1043.43 1044.10	ALICE:  	... Mhm,
1044.10 1045.16	MARY:   	... to um=,
1045.16 1046.59	        	... you know,
1046.59 1047.73	        	<HI do things HI>.
1047.73 1053.87	        	... (SWALLOW) I'm not saying I'm gonna ... (TSK) pay for everything,
1053.87 1054.21	        	but,
1054.21 1058.75	        	... I don't want to be broke= around him.
1058.75 1065.82	        	... (H)
1065.82 1066.19	ALICE:  	I know,
1066.19 1067.20	        	that really sucks.
1067.20 1071.57	MARY:   	... (TSK) Cause I wanna at least be [able to put] ... gas in the car=,
1068.98 1069.77	ALICE:  	                                    [(SWALLOW)]
1071.57 1072.03	        	... [2Mhm2].
1071.83 1072.97	MARY:   	    [2and go2] do something.
1072.97 1079.56	ALICE:  	... (H) I don't think it's such a good idea for you to go up there in the winter.
1079.56 1082.85	MARY:   	... (TSK) Mm=.
1082.85 1084.86	        	... I've been thinking about that.
1084.86 1089.29	ALICE:  	(SWALLOW) ... We should all get some money together and,
1089.29 1090.49	        	... is there any way he could [like,
1090.24 1090.48	MARY:   	                              [(H)=]
1090.49 1092.49	ALICE:  	meet us in Great Falls] or something?
1092.49 1095.42	        	... Cause I'd like to go up there and go to the,
1095.42 1095.99	        	.. um,
1095.99 1097.33	        	... (H) Red Lobster?
1097.33 1098.47	MARY:   	... (TSK) (H) Really?
1098.47 1099.09	ALICE:  	... Yeah.
1099.09 1101.90	        	... Cause I've been just,
1101.90 1103.36	        	... cr=aving [seafood].
1102.63 1103.87	MARY:   	             [That's the half]-way point,
1103.87 1104.71	        	he could do it.
1104.71 1105.33	ALICE:  	... Yeah.
1105.33 1106.59	MARY:   	I bet he could do it.
1106.59 1109.34	        	... When though.
1109.34 1110.48	ALICE:  	... I don't know=,
1110.48 1113.05	MARY:   	... He goes [back] to school like the secon=d.
1111.64 1111.87	ALICE:  	            [%]
