0.00 1.24	KEVIN:  	Is that just [carbonated water]?
106.82 108.81	MARCI:  	[4@@ .. He thought your clue was4] [5stupid5],
108.46 108.81	WENDY:  	                                   [5(H)5]
108.81 109.71	MARCI:  	and it really wasn't,
109.71 109.98	KEN:    	[@]
109.71 110.24	MARCI:  	[was] it.
110.24 110.76	KEN:    	[2@@2]
110.24 111.63	KEVIN:  	[2I don't think2] [3!Ken3]die will guess it,
110.76 110.93	WENDY:  	                  [3w-3] --
111.63 111.93	KEVIN:  	though.
111.93 112.63	MARCI:  	.. [(THROAT)]
111.93 112.38	KEN:    	   [Ah,
112.38 113.08	        	she] [2may=2].
112.63 113.23	KEVIN:  	     [2So that's2] the --
113.23 114.03	        	.. that's the whole point.
114.03 114.78	WENDY:  	.. I thought so,
114.78 115.03	        	I mean,
115.03 115.33	        	I can get --
115.33 115.89	        	[You guys --
115.33 117.11	KEVIN:  	[If she can't g=uess the clue=],
115.89 118.01	WENDY:  	Your clues make absolutely] no [2se=nse2].
117.30 118.01	KENDRA: 	                               [2(THROAT)2]
118.01 118.60	        	[3Yeah=3].
118.01 118.60	MARCI:  	[3@@@@3]
118.01 118.50	KEVIN:  	[3Well that's3] --
118.60 120.25	KENDRA: 	You're not sup[4posed to be able to guess4] [5it,
119.12 119.62	KEVIN:  	              [4That's why,
119.62 119.99	        	cause that's4] --
119.84 120.88	WENDY:  	                                            [5You have to like5] --
120.25 120.93	KENDRA: 	at all5]=.
120.93 121.28	KEVIN:  	.. (DRINK)
121.28 121.73	MARCI:  	[You have] --
121.28 122.75	KEVIN:  	[think of] exponen[2tials,
122.45 123.10	MARCI:  	                  [2You have to b-2] --
122.75 124.10	WENDY:  	or ex2]poten[3tials3],
123.57 125.06	MARCI:  	            [3You have to3] belong to Mensa,
125.06 127.36	        	<@ to be able to figure out !Kevin's c=lues @>.
127.36 127.81	WENDY:  	(H) No,
127.81 129.26	        	you have to belo=ng to= --
129.26 130.41	        	... <@<VOX I won't say VOX>@>.
130.41 132.16	KEVIN:  	... [@@@@@][2@@@2]
130.81 134.28	KENDRA: 	    [@@@][2Oh2][3=3].
131.64 132.19	WENDY:  	           [2Oh=2],
132.19 134.28	        	               [3<@ there's something on your tooth @>3].
134.28 135.08	        	... @
135.08 136.30	KEN:    	... XX <X<@ Why don't you [get on it] @>X>.
135.78 136.30	KENDRA: 	                          [(H)]
136.30 137.35	KEN:    	@[2@@2]
136.65 137.40	WENDY:  	 [2Come here2].
137.40 138.05	KEN:    	.. [3@3]
137.70 141.45	MARCI:  	   [3Why didn't3] [4you guys tell me I had a big glop of lettuce on my4] tooth?
138.10 138.53	KENDRA: 	                  [4Oh,
138.53 141.05	        	gro==ss4].
141.45 142.85	        	.. Gro[5=5]s[6s6].
142.40 142.70	MARCI:  	      [5@@5]
142.80 143.95	WENDY:  	            [6I6]t's stuck in your gum.
143.95 144.40	KEVIN:  	.. I know.
144.40 146.40	WENDY:  	... @[=]
146.15 146.85	MARCI:  	     [Chew i]t out.
146.85 147.55	WENDY:  	.. (H)
147.55 147.80	KEVIN:  	(TSK)
147.80 148.65	WENDY:  	@Oh=.
148.65 149.50	KEVIN:  	(H)
149.50 150.30	WENDY:  	@@
150.30 151.75	KEN:    	@@@[@@@]
150.80 152.65	KENDRA: 	   [!Kevin just don't op][2en your mouth again2].
151.75 153.25	WENDY:  	                         [2I'm gonna give you a mushy2] kiss.
153.25 155.40	KEN:    	@[3@@ @ @3]
153.75 155.40	MARCI:  	 [3Don't ever open your mouth again3],
155.40 155.85	WENDY:  	[4@@@4]
155.40 155.97	MARCI:  	[4!Kevi4]n.
155.97 156.69	        	.. It'll [5be alright5].
156.25 157.35	WENDY:  	         [5You can bare5][6ly see6] it.
156.69 157.10	KEN:    	                         [6(THROAT)6]
157.35 158.05	MARCI:  	.. (THROAT)
158.05 158.95	WENDY:  	... You can barely see- --
158.95 160.95	        	Did you have a big glop of lettuce on your tooth !Mar[ci].
160.58 161.31	MARCI:  	                                                     [Mh][2m2].
160.95 161.31	WENDY:  	                                                         [2Oh2],
161.31 162.60	        	we were just sitting laughing at you.
162.60 162.80	KENDRA: 	Dad,
162.65 163.50	MARCI:  	[@@@@]
162.80 163.85	KENDRA: 	[can you give me a tooth]pick?
163.85 164.75	        	from ... down there?
164.75 166.15	WENDY:  	... @Everybody's getting <X a p- X> --
166.15 166.40	KEVIN:  	D[o-] --
166.35 167.25	WENDY:  	 [t]ooth [2ob2]sessed.
166.62 166.87	KEVIN:  	         [2X2]
167.25 168.83	KEN:    	I [3guess we a=re3].
168.00 168.83	WENDY:  	  [3<SING Nee SING>3].
168.83 170.50	MARCI:  	[4We really are getting stupid.
168.83 170.85	KENDRA: 	[4Well I can't stand having things in my teeth 4].
170.50 172.00	MARCI:  	<@ I mean4] we're really beyond @> --
172.00 172.85	WENDY:  	We're all tired.
172.85 174.40	MARCI:  	... That [must] be it.
173.62 173.87	KENDRA: 	         [(SNIFF)]
174.40 175.10	WENDY:  	... Yeah.
175.10 175.65	        	.. Simple %- --
175.65 176.40	        	Simple ex[planation],
175.95 176.40	KENDRA: 	         [(THROAT)]
176.40 177.45	WENDY:  	[2is we're all exhausted2].
176.50 179.20	KENDRA: 	[2I mean when !Mary2] tells me to get sleep over the weekend,
179.20 181.25	        	you know= I need to get sleep over the weeke=nd.
181.25 183.05	WENDY:  	... That's good you're getting r- good rest.
183.05 184.95	        	.. I[='ve been s][2leeping about2] [3ten hours3].
183.30 183.70	MARCI:  	    [No=],
183.70 184.95	        	                 [2!Mary's2] [3just lying3].
183.70 184.22	KEVIN:  	                 [2XX2]?
184.95 185.50	WENDY:  	No thanks.
185.50 185.99	KENDRA: 	.. I know=,
185.99 187.21	        	I've been sleeping about ten hou=rs,
187.21 187.85	        	every nigh=t.
187.85 188.71	        	.. And I'm sti=ll,
188.71 189.05	        	like,
189.05 192.00	        	... [But I think I'm over it faster than I w=ould be].
189.85 191.22	WENDY:  	    [I was gonna ask the doctor,
191.22 191.75	        	I'm like,
191.75 193.09	        	.. wh]=at is wr=ong with me,
193.09 194.48	        	that I am sleeping so much.
194.48 195.30	KENDRA: 	.. No [XXX].
194.77 195.87	WENDY:  	      [But !Kevin's] been sleeping a lot,
195.87 196.17	        	too.
196.17 196.67	KENDRA: 	You pregnant?
196.67 197.32	WENDY:  	... No.
197.32 198.52	MARCI:  	... Are [you]?
198.22 198.87	WENDY:  	        [Thank] [2God2].
198.22 199.19	X:      	        [(H)][2=2]=
199.19 199.89	MARCI:  	.. <F Are [3you F>3]?
199.46 201.16	KEVIN:  	          [3(THROAT)=3] [4(Hx)4][5=5]
200.23 201.06	KENDRA: 	                        [4<F<VOX No4][5= VOX>F>5]
200.89 201.16	MARCI:  	                                [5Oh5].
201.16 201.81	        	... @Goo=d.
201.81 202.76	KENDRA: 	.. Da=ng,
202.81 203.28	        	[Ow=].
202.93 203.96	WENDY:  	[!Kevin's been] sleeping a lot,
203.96 204.37	        	too though.
204.37 204.79	        	.. So[=],
204.57 205.16	MARCI:  	     [(H)][2=2]
204.79 206.14	KENDRA: 	          [2I'd be on2] [3pregnancy vita3]mins,
205.16 205.96	WENDY:  	                        [3I think we just have3] --
206.14 206.59	KENDRA: 	I wouldn't be &
206.59 207.24	KEVIN:  	... (HICCUP)
207.24 207.84	KENDRA: 	& sick,
207.84 208.24	        	[if I were] &
207.84 208.54	KEVIN:  	[excu]se me.
208.54 209.29	KENDRA: 	& ... pregnant.
209.29 210.59	MARCI:  	... Says [who].
210.39 211.49	WENDY:  	         [(TSK)] Who's pregnant [2again2].
211.14 211.49	KENDRA: 	                                [2Says me2].
211.49 212.44	WENDY:  	... U=m,
212.44 213.86	MARCI:  	... (TSK) U=h,
213.86 214.31	        	[I] --
213.86 214.31	WENDY:  	[!Trish].
214.31 214.55	        	You know,
214.55 215.51	        	!Trish is pregnant again.
215.51 215.81	KENDRA: 	Yeah.
215.81 216.41	WENDY:  	!Trish !Rhodes.
216.41 216.96	KENDRA: 	.. [Yeah].
216.61 218.43	MARCI:  	   [(H)]= .. Was it !Trish=,
218.43 220.68	        	... t- who told me she was [2pregnan=t,
219.95 221.40	WENDY:  	                           [2She looked r=eally good2].
220.68 221.40	MARCI:  	.. at2],
221.40 223.05	        	.. I was [3thinking it was3] --
221.92 222.70	WENDY:  	         [3Where are they going to church.
222.70 223.45	        	Are they going to3] CT?
223.45 224.60	KENDRA: 	... Unh-unh.
224.60 226.25	        	... Some little-bitty church.
226.25 226.95	        	Somewhere I don't know.
226.95 228.65	WENDY:  	... Were they going to CT at one point?
228.65 229.20	KENDRA: 	... Hunh-unh.
229.20 230.20	WENDY:  	... Okay.
230.20 231.43	MARCI:  	... !Myra's your friend,
231.43 231.90	        	[right]?
231.43 231.85	KENDRA: 	[Mhm].
231.90 235.15	MARCI:  	.. I thought she told me .. at .. somebody's shower.
235.15 236.10	        	.. !Becky's shower- --
236.10 236.60	        	.. No.
236.60 238.80	        	.. Somebody's shower at !Becky's house.
238.80 239.35	X:      	(H)
239.35 242.65	MARCI:  	... That she was pregnant again.
242.65 244.35	        	... Like two weeks pregnant.
244.35 244.68	KENDRA: 	.. [No,
244.53 245.00	MARCI:  	   [<X Or one X>] --
244.68 245.40	KENDRA: 	that was] !Trish.
245.40 246.73	MARCI:  	.. That was !Tr=ish[2=.
246.52 246.90	KENDRA: 	                   [2Mhm2].
246.73 247.18	MARCI:  	O2]kay.
247.18 249.21	        	So we already knew !Trish was preg[nant].
248.97 249.42	KENDRA: 	                                  [M]hm[2=2].
249.27 250.37	WENDY:  	[2I l2]ike [3her hair cut3] short.
249.54 250.14	MARCI:  	           [3(H)=3]
250.37 251.04	        	Al=ri=ght.
251.04 251.29	KENDRA: 	Mh[m].
251.12 252.59	WENDY:  	  [<X It] [2really looks cute on her=2].
251.29 252.59	MARCI:  	          [2I tried to tell !Myra2],
251.29 252.59	KENDRA: 	          [2<X Does look really good X>2].
252.59 253.35	MARCI:  	I thought it was her.
253.35 253.81	WENDY:  	<X She [did X>].
253.46 254.56	MARCI:  	       [@]@[2@@2]
254.06 254.31	WENDY:  	           [2She- --
254.31 256.01	        	She2] looks so much prettier [3now3].
255.61 256.01	MARCI:  	                             [3(H)3]
256.01 256.53	KENDRA: 	[4Mhm4].
256.01 256.86	WENDY:  	[4with it cut that4] [5way5].
256.53 256.96	MARCI:  	                     [5!Tri5]sh?
256.96 257.65	KEVIN:  	... (H) (TSK)
257.65 258.55	MARCI:  	I haven't even seen her,
258.55 259.60	        	for a yea=[r].
259.25 260.00	WENDY:  	          [We saw] [2her at2] --
259.25 260.00	KENDRA: 	          [It's] [2all set2],
260.00 260.30	        	and,
260.30 261.70	        	... (TSK) poofed up on her head?
261.70 262.50	MARCI:  	.. (TSK) Oh=.
262.50 263.00	        	.. [Yeah=].
262.67 264.07	KENDRA: 	   [Like it's a] .. [2higher cut2]?
263.17 264.02	MARCI:  	                    [2Yeah2].
264.07 265.57	WENDY:  	[3It's really .. it looks sharp3] on her.
264.07 264.84	KENDRA: 	[3(H) She=,
264.84 265.27	        	u=m3],
265.57 265.94	        	uh [4yeah4],
265.74 265.94	MARCI:  	   [4W-4] --
265.94 266.79	KENDRA: 	I saw her at !Scott's,
266.79 267.41	        	[the other day].
266.79 268.90	WENDY:  	[We saw her at] ... % Diamond Jim's.
268.90 269.65	KENDRA: 	... Oh yeah=?
269.65 271.10	WENDY:  	(H) [She was there with the ba]by.
269.95 270.80	MARCI:  	    [What's she doing].
271.10 272.90	        	... Is she working yet,
272.90 273.20	        	or=,
273.20 274.15	        	.. still at home.
274.15 274.90	WENDY:  	... [I don't think she's- --
274.25 275.17	KENDRA: 	    [I think she's still at home].
274.90 275.00	WENDY:  	.. Does,
275.00 275.65	        	She doesn't] have to work,
275.65 276.05	        	does she?
276.05 277.85	KENDRA: 	... She doesn't have to,
277.85 278.55	        	unless=,
278.55 278.99	        	... you know,
278.99 280.55	        	I guess !Scott's making some good bucks.
280.55 282.93	MARCI:  	.. Yeah but they bought like three cars in a row.
282.93 283.80	        	She had that one,
283.80 284.80	        	and they sold that,
284.80 286.10	        	and [bought two other=s],
284.90 285.85	KENDRA: 	    [Yeah but at that point,
285.85 286.90	        	she was] still on an n- --
286.90 292.00	        	... in= ... unending ... money ... streak.
292.00 295.10	        	... Cause of the policy she took out on her husband.
295.10 296.30	        	... Ex-husband.
296.30 296.55	        	.. [Well],
296.30 297.72	MARCI:  	   [(TSK)] Yeah but has [2that finished2]?
297.01 297.81	KENDRA: 	                        [2deceased hus2]band.
297.81 298.66	MARCI:  	That hasn't finished.
298.66 298.93	KENDRA: 	[Yeah.
298.66 299.09	MARCI:  	[Has it]?
298.93 300.74	KENDRA: 	It fin]ished when she got married to !Todd.
300.74 301.59	MARCI:  	... Oh really?
301.49 304.84	KENDRA: 	They gave her like a b- ... thirty= something lump sum.
304.84 306.14	MARCI:  	... [Thirty thousand]?
304.84 306.39	WENDY:  	    [(H)] Oh,
306.39 308.10	        	it was supposed to [2pay like2] continuously=,
306.81 307.26	KENDRA: 	                   [2(THROAT)2]
308.10 308.59	WENDY:  	un[3til3] --
308.27 309.02	KENDRA: 	  [3Oh yeah3]=.
309.02 309.77	        	... Forever.
309.77 310.82	        	.. For the rest of her life.
310.82 312.37	        	... Or until she got married again.
312.37 313.97	KEVIN:  	... She must've loved him pretty much.
313.97 316.65	        	.. @= [@@@@@@]
315.31 316.65	WENDY:  	      [(TSK) !Kevin].
316.65 317.45	KEN:    	@ @
317.45 318.25	KEVIN:  	.. (H)
318.25 319.55	WENDY:  	... You're morbid.
319.55 321.10	MARCI:  	.. @@@@@
321.10 322.60	WENDY:  	How much is your life insurance @worth.
322.60 323.20	MARCI:  	@@
323.20 324.70	KENDRA: 	@@@@[@@][2@2]
324.02 324.70	KEN:    	    [@@][2@2]
324.41 326.31	KEVIN:  	        [2Costs me2] <@ seventeen dollars every three months,
326.31 326.81	        	[3I'm not sure @>3].
326.31 326.81	MARCI:  	[3(H)=3]
326.81 327.51	WENDY:  	[4X4]
326.81 327.76	KENDRA: 	[4@@@4][5@
326.81 329.01	MARCI:  	[4@@@4][5@@@5][6@@6] [7(H)
327.51 328.84	KEN:    	       [5@@@5][6@@6]
327.76 328.21	KENDRA: 	Uh-oh5].
328.21 329.53	WENDY:  	              [6Oh6][7=7].
328.84 330.49	KENDRA: 	                     [7I don't think you'll be getting7] [8much out of8] that [9one,
329.01 329.53	MARCI:  	Don't ask7],
329.53 330.02	        	                                                         [8!Wendy8].
330.49 330.97	KENDRA: 	!Wendy9].
330.29 331.47	MARCI:  	[9What you don't9] know=,
331.47 332.67	        	.. will hurt y[ou @].
332.04 333.49	KENDRA: 	              [<VOX What are we doing] here VOX> <<THUMP +.
333.49 335.74	        	... ++++[2++2] THUMP>>
335.11 336.64	WENDY:  	        [2Does somebody want2] some presents?
336.64 337.11	MARCI:  	We're=,
337.11 338.71	        	.. We're= t- .. sitting here?
338.71 341.56	WENDY:  	... I think she wants some presents.
341.56 342.51	MARCI:  	.. That [would do].
341.98 342.75	KENDRA: 	        [I want some c]ards,
342.75 343.33	        	or some[2thing,
343.19 343.84	MARCI:  	       [2That would do2].
343.33 343.84	KENDRA: 	man2].
343.84 344.34	WENDY:  	.. O[3kay,
344.16 345.36	MARCI:  	    [3Let's get some presents3].
344.34 345.79	WENDY:  	<X should X> we start with this3] one?
345.79 349.54	KEVIN:  	.. <<CLAP +[4++++ ++ +++ +++++++ CLAP>>4]
346.11 347.16	MARCI:  	           [4Shall we start with the p=- --
347.26 348.49	        	.. % .. You gonna bring=,
348.49 349.39	        	.. our present4]?
349.39 352.44	KENDRA: 	... [5Chill5].
351.89 352.44	KEN:    	    [5X5]
352.44 354.14	MARCI:  	.. What's ... [6mean6].
353.44 354.14	WENDY:  	              [6@6]
354.14 355.79	KENDRA: 	... Chill babe.
355.79 357.44	        	.. How come this comes in two parts.
357.44 358.74	WENDY:  	... You'll see=.
358.74 359.49	KENDRA: 	... I'm worrying.
359.49 360.39	KEN:    	.. [It's the clue].
359.49 360.54	MARCI:  	   [One's the di]aper,
360.54 363.84	        	and the other's the b- ... plastic [2bag to put it in2] when [3it's3] dirty.
362.19 363.09	KENDRA: 	                                   [2Mo=ther=2].
363.19 363.47	WENDY:  	                                                             [3(COUGH)3]
363.84 364.78	KENDRA: 	[4Mo=ther=4].
363.84 365.23	MARCI:  	[4@@@4][5@@5]
363.84 365.23	WENDY:  	[4@@4][5(H)5]
365.23 366.98	        	[6What's this with ba=bie=s6].
365.23 365.70	KENDRA: 	[6Yeah really.
365.70 366.73	        	This is the diaper,
366.73 367.83	        	this6] [7is the plastic bag7].
366.88 367.83	MARCI:  	       [7@ @@7]
367.83 368.00	KENDRA: 	.. Gee,
368.00 369.68	        	[that was]n't too difficult to figure out.
368.03 368.35	WENDY:  	[@]
369.68 375.43	KENDRA: 	((OPENS-CARD)) [2Thank you2].
374.70 375.43	KEN:    	               [2@@@2]
375.90 377.23	KENDRA: (H) One of those hard to cut,
377.23 378.16				something or other.
378.57 379.32			... <P Okay.
379.32 380.12			... Get that out of my mouth P>.
380.12 380.89	WENDY:	 .. [You didn't see the .. k-] --
380.89 382.62	KENDRA:	   [(H) <HI Oh it's] kitty-kittie=s HI>.
382.71 383.37		 .. Miaow.
383.37 384.21	WENDY:  .. XX.
384.21 385.62	KENDRA: <READ Wishing you a day of little treasure=s,
385.62 386.44        simple pleasures.
386.44 387.26        Happy birthday READ>.
387.26 388.13        They're always dorky,
388.13 389.26        but at least they have cats on it.
389.26 389.75        Right?
390.07 390.40	WENDY:  .. @
390.40 390.79	KENDRA: <READ !Kendra READ>.
390.79 391.94	MARCI:  [@]
390.79 392.31	KEVIN:  [@@@][2@@@2]
390.79 391.94	KENDRA:      [2@@@ @Sorry2].
391.94 392.64	WENDY:  I'll let you know,
392.64 393.75        I spent hours picking that c- --
393.75 394.03        [No.
394.03 394.86	KENDRA: [@ I'll bet] [2you did2].
394.03 394.86	WENDY:  Not really].
394.86 395.63	MARCI:               [2@@2][3@@@@@3]
395.08 396.07	KENDRA:                    [3(H) <Q Oh there's a cat Q>3] ch.
396.07 396.64	WENDY:  @@@@
396.64 397.26	KENDRA: [It's going].
397.26 399.19	MARCI:  [@] .. [2@@@@@@@@2]
397.67 399.75	KENDRA: [2<READ<SM In this exciting time of change2] [3and growth SM>3],
398.57 399.42	WENDY:                                               [3(H)3]
399.75 401.98	KENDRA: (H) .. Be full of love joy and peace in the Lord.
401.98 402.44	        We love you=,
402.44 403.17        .. !Kevin and !Wendy.
403.63 405.24         .. [(H) If all] else fail=s,
403.17 403.87	KEVIN:     [All righ=t].
405.24 407.48	KENDRA: (H) appease the m- .. monster= READ>?
408.60 409.17	WENDY:  [@]
407.48 409.16	KEVIN:  [(H)] That i=s [2the clue2].
409.45 409.91	WENDY:                 [2@@@2]
409.16 410.12	KEN:    That is= [3the3] [4clue4].
409.44 409.83	KENDRA:          [3@3]
409.58 410.70	KEVIN:                   [4She might not4] have mentioned,
410.70 411.72        [5but that i=s the clue5].
410.70 413.57	KENDRA: [5I was thinking it was wish5]ing you a [6day of6] <@ little [7treasures,
413.28 413.65	WENDY:                                          [6(Hx)6]
413.66 414.13	KEVIN:  [7(H) No7].
413.57 414.59	KENDRA: and simple7] pleasures,
414.60 415.46        [8<X was the clue X>@>8].
414.60 414.87	KEVIN:  [8Oh,
414.87 416.38       .. you wish8] [9it was a little9] [treasure.
415.92 416.66	WENDY:                [9(Hx)=9] [(H) (Hx) @ (H)]
416.14 416.38	KENDRA:                         [@@@]
416.36 416.64	KEVIN:  .. No.
417.14 418.10        (H)] [2It's the monster2].
417.14 418.32	KENDRA:      [2If all else fails2],
418.32 419.65	         appease the monster.
419.65 420.44	        [Who's the monster].
419.84 420.41	KEVIN:  [(DRINK)]
420.77 421.77	KENDRA: <<PAPER
421.10 421.76	MARCI:  ... Now wait,
421.78 422.60	        wait- wait- wait- wait- wait.
422.57 422.67        [Y-] --
422.59 423.73	KENDRA: [Can I] open this one first?
423.97 424.50       [2Or will it give it away=,
423.73 423.99	WENDY:  [2Sure.
423.97 424.61        .. Doesn't matter2].
424.93 425.65	KENDRA: or=2] is= it okay.
427.59 428.90	MARCI:  ... <P Appease [3the monster P>3].
